order_id,order_date,customer_id,product_id,product_name,quantity,unit_price,order_total,payment_method,shipping_country,shipping_city,status
ORD2025-00001,2025-01-14,CUST5385,SKU1002,Mechanical Keyboard,4,89.99,359.96,apple_pay,Canada,Toronto,Processing
ORD2025-00002,2025-04-08,CUST9785,SKU1009,Bluetooth Speaker,3,58.75,176.25,apple_pay,Mexico,Mexico City,Processing
ORD2025-00003,2025-02-10,CUST3212,SKU1006,Portable SSD 1TB,5,119.99,599.95,apple_pay,Japan,Tokyo,Shipped
ORD2025-00004,2025-02-11,CUST1027,SKU1015,LED Desk Lamp,4,45.25,181.0,credit_card,Argentina,Buenos Aires,Returned
ORD2025-00005,2025-04-07,CUST2144,SKU1001,Wireless Mouse,3,25.99,77.97,google_pay,Canada,Toronto,Processing
ORD2025-00006,2025-01-24,CUST3329,SKU1003,USB‑C Hub 7‑in‑1,1,39.95,39.95,apple_pay,Argentina,Buenos Aires,Cancelled
ORD2025-00007,2025-05-27,CUST8813,SKU1005,27‑inch 4K Monitor,4,349.0,1396.0,credit_card,South Africa,Cape Town,Delivered
ORD2025-00008,2025-03-29,CUST9547,SKU1013,Gaming Headset,4,79.99,319.96,paypal,Mexico,Mexico City,Returned
ORD2025-00009,2025-05-15,CUST6165,SKU1001,Wireless Mouse,4,25.99,103.96,bank_transfer,Spain,Barcelona,Returned
ORD2025-00010,2025-05-05,CUST9529,SKU1011,Smartphone Stand,4,18.5,74.0,apple_pay,Colombia,Medellín,Processing
ORD2025-00011,2025-02-16,CUST2353,SKU1015,LED Desk Lamp,4,45.25,181.0,apple_pay,United Kingdom,London,Delivered
ORD2025-00012,2025-03-28,CUST7409,SKU1015,LED Desk Lamp,1,45.25,45.25,google_pay,Spain,Barcelona,Returned
ORD2025-00013,2025-03-28,CUST1267,SKU1004,Noise‑Cancelling Headphones,5,129.5,647.5,credit_card,Mexico,Mexico City,Delivered
ORD2025-00014,2025-01-04,CUST6765,SKU1004,Noise‑Cancelling Headphones,4,129.5,518.0,bank_transfer,Colombia,Medellín,Processing
ORD2025-00015,2025-03-15,CUST9106,SKU1013,Gaming Headset,6,79.99,479.94,paypal,Colombia,Medellín,Cancelled
ORD2025-00016,2025-02-15,CUST3519,SKU1009,Bluetooth Speaker,4,58.75,235.0,google_pay,South Africa,Cape Town,Cancelled
ORD2025-00017,2025-01-12,CUST1166,SKU1003,USB‑C Hub 7‑in‑1,4,39.95,159.8,paypal,United States,New York,Delivered
ORD2025-00018,2025-04-01,CUST5455,SKU1007,Webcam 1080p,6,49.49,296.94,google_pay,United States,New York,Processing
ORD2025-00019,2025-01-17,CUST9361,SKU1006,Portable SSD 1TB,6,119.99,719.94,credit_card,Canada,Toronto,Cancelled
ORD2025-00020,2025-01-03,CUST9778,SKU1007,Webcam 1080p,1,49.49,49.49,bank_transfer,Japan,Tokyo,Cancelled
ORD2025-00021,2025-01-08,CUST6283,SKU1005,27‑inch 4K Monitor,4,349.0,1396.0,credit_card,South Africa,Cape Town,Returned
ORD2025-00022,2025-03-27,CUST7784,SKU1006,Portable SSD 1TB,1,119.99,119.99,paypal,Argentina,Buenos Aires,Cancelled
ORD2025-00023,2025-01-17,CUST3359,SKU1006,Portable SSD 1TB,6,119.99,719.94,paypal,Japan,Tokyo,Processing
ORD2025-00024,2025-01-15,CUST9498,SKU1007,Webcam 1080p,5,49.49,247.45,apple_pay,United Kingdom,London,Delivered
ORD2025-00025,2025-04-10,CUST7037,SKU1003,USB‑C Hub 7‑in‑1,5,39.95,199.75,apple_pay,Colombia,Medellín,Processing
ORD2025-00026,2025-02-12,CUST7328,SKU1007,Webcam 1080p,1,49.49,49.49,paypal,Brazil,São Paulo,Processing
ORD2025-00027,2025-03-31,CUST8368,SKU1014,Graphic Tablet,6,269.0,1614.0,google_pay,Germany,Berlin,Cancelled
ORD2025-00028,2025-01-08,CUST3598,SKU1009,Bluetooth Speaker,3,58.75,176.25,bank_transfer,Colombia,Medellín,Returned
ORD2025-00029,2025-02-05,CUST6629,SKU1009,Bluetooth Speaker,1,58.75,58.75,bank_transfer,Japan,Tokyo,Delivered
ORD2025-00030,2025-02-27,CUST6571,SKU1002,Mechanical Keyboard,3,89.99,269.97,bank_transfer,Netherlands,Eindhoven,Shipped
ORD2025-00031,2025-03-24,CUST5334,SKU1007,Webcam 1080p,1,49.49,49.49,bank_transfer,Canada,Toronto,Shipped
ORD2025-00032,2025-05-10,CUST4268,SKU1013,Gaming Headset,1,79.99,79.99,paypal,Germany,Berlin,Returned
ORD2025-00033,2025-03-01,CUST2394,SKU1010,Ergonomic Chair,3,199.99,599.97,credit_card,France,Paris,Returned
ORD2025-00034,2025-05-18,CUST3186,SKU1015,LED Desk Lamp,5,45.25,226.25,paypal,South Africa,Cape Town,Cancelled
ORD2025-00035,2025-05-07,CUST7526,SKU1013,Gaming Headset,1,79.99,79.99,apple_pay,Japan,Tokyo,Returned
ORD2025-00036,2025-05-05,CUST6579,SKU1007,Webcam 1080p,2,49.49,98.98,bank_transfer,Argentina,Buenos Aires,Shipped
ORD2025-00037,2025-01-02,CUST9101,SKU1006,Portable SSD 1TB,6,119.99,719.94,bank_transfer,Canada,Toronto,Processing
ORD2025-00038,2025-04-03,CUST8549,SKU1006,Portable SSD 1TB,6,119.99,719.94,google_pay,France,Paris,Delivered
ORD2025-00039,2025-02-25,CUST8357,SKU1006,Portable SSD 1TB,2,119.99,239.98,paypal,Spain,Barcelona,Processing
ORD2025-00040,2025-04-17,CUST7149,SKU1009,Bluetooth Speaker,3,58.75,176.25,paypal,Mexico,Mexico City,Returned
ORD2025-00041,2025-04-07,CUST7037,SKU1002,Mechanical Keyboard,3,89.99,269.97,credit_card,Argentina,Buenos Aires,Delivered
ORD2025-00042,2025-05-09,CUST6279,SKU1001,Wireless Mouse,4,25.99,103.96,credit_card,Australia,Sydney,Cancelled
ORD2025-00043,2025-03-18,CUST2760,SKU1008,Laptop Stand Aluminum,5,32.9,164.5,apple_pay,Netherlands,Eindhoven,Cancelled
ORD2025-00044,2025-03-10,CUST8196,SKU1010,Ergonomic Chair,5,199.99,999.95,apple_pay,Netherlands,Eindhoven,Cancelled
ORD2025-00045,2025-05-09,CUST5505,SKU1006,Portable SSD 1TB,1,119.99,119.99,paypal,Canada,Toronto,Processing
ORD2025-00046,2025-04-20,CUST9133,SKU1012,USB‑C Charger 65W,2,34.9,69.8,google_pay,Colombia,Medellín,Processing
ORD2025-00047,2025-05-01,CUST9878,SKU1003,USB‑C Hub 7‑in‑1,3,39.95,119.85,apple_pay,Argentina,Buenos Aires,Shipped
ORD2025-00048,2025-01-09,CUST8592,SKU1009,Bluetooth Speaker,5,58.75,293.75,apple_pay,Japan,Tokyo,Returned
ORD2025-00049,2025-01-04,CUST6253,SKU1012,USB‑C Charger 65W,4,34.9,139.6,paypal,Japan,Tokyo,Processing
ORD2025-00050,2025-03-06,CUST5670,SKU1003,USB‑C Hub 7‑in‑1,4,39.95,159.8,apple_pay,Spain,Barcelona,Processing
ORD2025-00051,2025-01-04,CUST9139,SKU1011,Smartphone Stand,2,18.5,37.0,paypal,United States,New York,Delivered
ORD2025-00052,2025-05-15,CUST3718,SKU1013,Gaming Headset,6,79.99,479.94,bank_transfer,Mexico,Mexico City,Shipped
ORD2025-00053,2025-03-19,CUST9189,SKU1014,Graphic Tablet,4,269.0,1076.0,paypal,Germany,Berlin,Returned
ORD2025-00054,2025-01-24,CUST2691,SKU1008,Laptop Stand Aluminum,5,32.9,164.5,bank_transfer,Colombia,Medellín,Delivered
ORD2025-00055,2025-02-19,CUST9531,SKU1015,LED Desk Lamp,1,45.25,45.25,google_pay,Spain,Barcelona,Cancelled
ORD2025-00056,2025-01-29,CUST1985,SKU1010,Ergonomic Chair,4,199.99,799.96,google_pay,Colombia,Medellín,Delivered
ORD2025-00057,2025-02-09,CUST9080,SKU1003,USB‑C Hub 7‑in‑1,2,39.95,79.9,paypal,Netherlands,Eindhoven,Processing
ORD2025-00058,2025-03-04,CUST4410,SKU1002,Mechanical Keyboard,4,89.99,359.96,credit_card,United States,New York,Cancelled
ORD2025-00059,2025-03-24,CUST9960,SKU1001,Wireless Mouse,1,25.99,25.99,paypal,Japan,Tokyo,Cancelled
ORD2025-00060,2025-03-16,CUST4046,SKU1005,27‑inch 4K Monitor,1,349.0,349.0,apple_pay,India,Bangalore,Delivered
ORD2025-00061,2025-02-24,CUST9445,SKU1001,Wireless Mouse,6,25.99,155.94,apple_pay,South Africa,Cape Town,Shipped
ORD2025-00062,2025-04-30,CUST4685,SKU1007,Webcam 1080p,2,49.49,98.98,bank_transfer,India,Bangalore,Cancelled
ORD2025-00063,2025-04-11,CUST4095,SKU1007,Webcam 1080p,1,49.49,49.49,google_pay,Mexico,Mexico City,Processing
ORD2025-00064,2025-03-15,CUST3281,SKU1008,Laptop Stand Aluminum,6,32.9,197.4,credit_card,United Kingdom,London,Processing
ORD2025-00065,2025-04-28,CUST6781,SKU1009,Bluetooth Speaker,5,58.75,293.75,credit_card,Brazil,São Paulo,Returned
ORD2025-00066,2025-04-01,CUST5730,SKU1006,Portable SSD 1TB,2,119.99,239.98,google_pay,Argentina,Buenos Aires,Processing
ORD2025-00067,2025-01-28,CUST9331,SKU1014,Graphic Tablet,1,269.0,269.0,bank_transfer,India,Bangalore,Delivered
ORD2025-00068,2025-01-22,CUST4374,SKU1007,Webcam 1080p,2,49.49,98.98,google_pay,United Kingdom,London,Cancelled
ORD2025-00069,2025-02-05,CUST1087,SKU1003,USB‑C Hub 7‑in‑1,1,39.95,39.95,apple_pay,United States,New York,Processing
ORD2025-00070,2025-02-07,CUST4589,SKU1008,Laptop Stand Aluminum,4,32.9,131.6,paypal,India,Bangalore,Cancelled
ORD2025-00071,2025-01-16,CUST1923,SKU1003,USB‑C Hub 7‑in‑1,1,39.95,39.95,google_pay,Japan,Tokyo,Processing
ORD2025-00072,2025-02-04,CUST1674,SKU1006,Portable SSD 1TB,4,119.99,479.96,paypal,Mexico,Mexico City,Shipped
ORD2025-00073,2025-03-02,CUST8066,SKU1006,Portable SSD 1TB,6,119.99,719.94,paypal,Canada,Toronto,Processing
ORD2025-00074,2025-03-16,CUST6363,SKU1011,Smartphone Stand,4,18.5,74.0,apple_pay,South Africa,Cape Town,Shipped
ORD2025-00075,2025-01-16,CUST1949,SKU1009,Bluetooth Speaker,1,58.75,58.75,credit_card,Argentina,Buenos Aires,Shipped
ORD2025-00076,2025-03-15,CUST4841,SKU1003,USB‑C Hub 7‑in‑1,5,39.95,199.75,credit_card,South Africa,Cape Town,Returned
ORD2025-00077,2025-05-20,CUST5313,SKU1015,LED Desk Lamp,4,45.25,181.0,bank_transfer,France,Paris,Delivered
ORD2025-00078,2025-02-03,CUST7829,SKU1015,LED Desk Lamp,1,45.25,45.25,bank_transfer,Germany,Berlin,Delivered
ORD2025-00079,2025-03-22,CUST1053,SKU1013,Gaming Headset,3,79.99,239.97,bank_transfer,South Africa,Cape Town,Processing
ORD2025-00080,2025-03-17,CUST2308,SKU1007,Webcam 1080p,6,49.49,296.94,paypal,Australia,Sydney,Delivered
ORD2025-00081,2025-04-24,CUST2714,SKU1012,USB‑C Charger 65W,5,34.9,174.5,bank_transfer,Netherlands,Eindhoven,Cancelled
ORD2025-00082,2025-01-19,CUST4140,SKU1004,Noise‑Cancelling Headphones,6,129.5,777.0,apple_pay,Spain,Barcelona,Cancelled
ORD2025-00083,2025-03-14,CUST9923,SKU1003,USB‑C Hub 7‑in‑1,4,39.95,159.8,credit_card,Germany,Berlin,Processing
ORD2025-00084,2025-02-11,CUST4156,SKU1006,Portable SSD 1TB,2,119.99,239.98,credit_card,United Kingdom,London,Returned
ORD2025-00085,2025-01-26,CUST5431,SKU1002,Mechanical Keyboard,1,89.99,89.99,apple_pay,United States,New York,Delivered
ORD2025-00086,2025-04-03,CUST3131,SKU1005,27‑inch 4K Monitor,4,349.0,1396.0,credit_card,Australia,Sydney,Delivered
ORD2025-00087,2025-05-13,CUST2955,SKU1011,Smartphone Stand,5,18.5,92.5,credit_card,Argentina,Buenos Aires,Delivered
ORD2025-00088,2025-03-15,CUST6053,SKU1008,Laptop Stand Aluminum,2,32.9,65.8,credit_card,Canada,Toronto,Processing
ORD2025-00089,2025-01-26,CUST8224,SKU1014,Graphic Tablet,4,269.0,1076.0,apple_pay,India,Bangalore,Shipped
ORD2025-00090,2025-02-03,CUST7347,SKU1001,Wireless Mouse,4,25.99,103.96,paypal,Netherlands,Eindhoven,Processing
ORD2025-00091,2025-04-17,CUST3124,SKU1013,Gaming Headset,1,79.99,79.99,paypal,Colombia,Medellín,Delivered
ORD2025-00092,2025-04-18,CUST3754,SKU1013,Gaming Headset,4,79.99,319.96,apple_pay,Canada,Toronto,Processing
ORD2025-00093,2025-02-01,CUST7450,SKU1005,27‑inch 4K Monitor,5,349.0,1745.0,credit_card,India,Bangalore,Returned
ORD2025-00094,2025-02-18,CUST6084,SKU1005,27‑inch 4K Monitor,5,349.0,1745.0,bank_transfer,South Africa,Cape Town,Delivered
ORD2025-00095,2025-01-06,CUST3380,SKU1005,27‑inch 4K Monitor,3,349.0,1047.0,paypal,Spain,Barcelona,Shipped
ORD2025-00096,2025-05-08,CUST1736,SKU1007,Webcam 1080p,1,49.49,49.49,paypal,United Kingdom,London,Processing
ORD2025-00097,2025-05-21,CUST4643,SKU1015,LED Desk Lamp,1,45.25,45.25,google_pay,Australia,Sydney,Shipped
ORD2025-00098,2025-04-13,CUST8111,SKU1012,USB‑C Charger 65W,5,34.9,174.5,apple_pay,Canada,Toronto,Shipped
ORD2025-00099,2025-01-23,CUST8197,SKU1001,Wireless Mouse,5,25.99,129.95,apple_pay,Japan,Tokyo,Processing
ORD2025-00100,2025-02-23,CUST1583,SKU1003,USB‑C Hub 7‑in‑1,6,39.95,239.7,bank_transfer,Canada,Toronto,Processing
ORD2025-00101,2025-04-16,CUST8741,SKU1010,Ergonomic Chair,4,199.99,799.96,apple_pay,India,Bangalore,Shipped
ORD2025-00102,2025-04-14,CUST8022,SKU1011,Smartphone Stand,6,18.5,111.0,credit_card,Canada,Toronto,Processing
ORD2025-00103,2025-02-25,CUST3494,SKU1011,Smartphone Stand,6,18.5,111.0,paypal,South Africa,Cape Town,Returned
ORD2025-00104,2025-03-19,CUST6976,SKU1009,Bluetooth Speaker,4,58.75,235.0,apple_pay,Germany,Berlin,Cancelled
ORD2025-00105,2025-02-17,CUST9741,SKU1009,Bluetooth Speaker,6,58.75,352.5,bank_transfer,Canada,Toronto,Processing
ORD2025-00106,2025-02-06,CUST9515,SKU1013,Gaming Headset,5,79.99,399.95,bank_transfer,Canada,Toronto,Cancelled
ORD2025-00107,2025-03-05,CUST8854,SKU1001,Wireless Mouse,3,25.99,77.97,apple_pay,South Africa,Cape Town,Cancelled
ORD2025-00108,2025-04-06,CUST5656,SKU1014,Graphic Tablet,5,269.0,1345.0,bank_transfer,Australia,Sydney,Delivered
ORD2025-00109,2025-02-20,CUST3771,SKU1001,Wireless Mouse,3,25.99,77.97,credit_card,Australia,Sydney,Processing
ORD2025-00110,2025-05-06,CUST7102,SKU1013,Gaming Headset,4,79.99,319.96,paypal,Argentina,Buenos Aires,Processing
ORD2025-00111,2025-01-19,CUST4793,SKU1010,Ergonomic Chair,4,199.99,799.96,paypal,Colombia,Medellín,Processing
ORD2025-00112,2025-05-05,CUST9612,SKU1013,Gaming Headset,2,79.99,159.98,bank_transfer,Brazil,São Paulo,Delivered
ORD2025-00113,2025-03-22,CUST7819,SKU1013,Gaming Headset,6,79.99,479.94,apple_pay,France,Paris,Cancelled
ORD2025-00114,2025-02-15,CUST4854,SKU1002,Mechanical Keyboard,6,89.99,539.94,credit_card,Japan,Tokyo,Returned
ORD2025-00115,2025-02-06,CUST7045,SKU1015,LED Desk Lamp,1,45.25,45.25,paypal,United Kingdom,London,Shipped
ORD2025-00116,2025-04-13,CUST3929,SKU1013,Gaming Headset,5,79.99,399.95,paypal,Colombia,Medellín,Shipped
ORD2025-00117,2025-05-05,CUST9194,SKU1011,Smartphone Stand,1,18.5,18.5,google_pay,United Kingdom,London,Delivered
ORD2025-00118,2025-03-31,CUST9272,SKU1011,Smartphone Stand,4,18.5,74.0,paypal,Canada,Toronto,Cancelled
ORD2025-00119,2025-05-01,CUST7493,SKU1006,Portable SSD 1TB,1,119.99,119.99,google_pay,Mexico,Mexico City,Cancelled
ORD2025-00120,2025-01-23,CUST6362,SKU1008,Laptop Stand Aluminum,4,32.9,131.6,credit_card,Canada,Toronto,Processing
ORD2025-00121,2025-04-01,CUST6982,SKU1006,Portable SSD 1TB,2,119.99,239.98,bank_transfer,Japan,Tokyo,Returned
ORD2025-00122,2025-05-02,CUST6589,SKU1011,Smartphone Stand,2,18.5,37.0,credit_card,United Kingdom,London,Shipped
ORD2025-00123,2025-04-25,CUST4315,SKU1014,Graphic Tablet,6,269.0,1614.0,google_pay,Spain,Barcelona,Processing
ORD2025-00124,2025-03-31,CUST3048,SKU1005,27‑inch 4K Monitor,3,349.0,1047.0,bank_transfer,Germany,Berlin,Processing
ORD2025-00125,2025-03-30,CUST4372,SKU1013,Gaming Headset,1,79.99,79.99,credit_card,Colombia,Medellín,Shipped
ORD2025-00126,2025-05-13,CUST1164,SKU1010,Ergonomic Chair,4,199.99,799.96,bank_transfer,Spain,Barcelona,Cancelled
ORD2025-00127,2025-05-08,CUST2050,SKU1013,Gaming Headset,2,79.99,159.98,paypal,France,Paris,Shipped
ORD2025-00128,2025-03-26,CUST7794,SKU1012,USB‑C Charger 65W,4,34.9,139.6,credit_card,Spain,Barcelona,Processing
ORD2025-00129,2025-04-02,CUST9350,SKU1007,Webcam 1080p,1,49.49,49.49,paypal,Germany,Berlin,Processing
ORD2025-00130,2025-01-31,CUST7032,SKU1003,USB‑C Hub 7‑in‑1,2,39.95,79.9,credit_card,Mexico,Mexico City,Processing
ORD2025-00131,2025-04-19,CUST8348,SKU1015,LED Desk Lamp,6,45.25,271.5,google_pay,Brazil,São Paulo,Processing
ORD2025-00132,2025-04-17,CUST1844,SKU1002,Mechanical Keyboard,3,89.99,269.97,bank_transfer,Spain,Barcelona,Cancelled
ORD2025-00133,2025-03-27,CUST7025,SKU1006,Portable SSD 1TB,1,119.99,119.99,apple_pay,Australia,Sydney,Shipped
ORD2025-00134,2025-01-31,CUST1441,SKU1008,Laptop Stand Aluminum,4,32.9,131.6,bank_transfer,France,Paris,Processing
ORD2025-00135,2025-02-22,CUST5702,SKU1006,Portable SSD 1TB,6,119.99,719.94,apple_pay,United Kingdom,London,Delivered
ORD2025-00136,2025-05-01,CUST6909,SKU1004,Noise‑Cancelling Headphones,5,129.5,647.5,credit_card,Australia,Sydney,Cancelled
ORD2025-00137,2025-02-09,CUST4407,SKU1006,Portable SSD 1TB,2,119.99,239.98,google_pay,Colombia,Medellín,Shipped
ORD2025-00138,2025-03-21,CUST3665,SKU1004,Noise‑Cancelling Headphones,4,129.5,518.0,google_pay,South Africa,Cape Town,Delivered
ORD2025-00139,2025-05-02,CUST8322,SKU1008,Laptop Stand Aluminum,3,32.9,98.7,google_pay,Japan,Tokyo,Delivered
ORD2025-00140,2025-01-21,CUST7449,SKU1014,Graphic Tablet,4,269.0,1076.0,credit_card,Argentina,Buenos Aires,Returned
ORD2025-00141,2025-03-24,CUST7271,SKU1010,Ergonomic Chair,5,199.99,999.95,bank_transfer,Colombia,Medellín,Shipped
ORD2025-00142,2025-03-01,CUST1939,SKU1003,USB‑C Hub 7‑in‑1,6,39.95,239.7,google_pay,South Africa,Cape Town,Returned
ORD2025-00143,2025-04-24,CUST5468,SKU1010,Ergonomic Chair,2,199.99,399.98,apple_pay,United Kingdom,London,Returned
ORD2025-00144,2025-03-02,CUST7836,SKU1013,Gaming Headset,6,79.99,479.94,credit_card,Australia,Sydney,Cancelled
ORD2025-00145,2025-05-21,CUST2035,SKU1006,Portable SSD 1TB,4,119.99,479.96,paypal,United Kingdom,London,Delivered
ORD2025-00146,2025-02-02,CUST3289,SKU1013,Gaming Headset,3,79.99,239.97,google_pay,United Kingdom,London,Shipped
ORD2025-00147,2025-04-27,CUST5394,SKU1010,Ergonomic Chair,2,199.99,399.98,bank_transfer,Mexico,Mexico City,Shipped
ORD2025-00148,2025-03-17,CUST4133,SKU1010,Ergonomic Chair,5,199.99,999.95,credit_card,South Africa,Cape Town,Delivered
ORD2025-00149,2025-02-19,CUST8329,SKU1001,Wireless Mouse,2,25.99,51.98,paypal,South Africa,Cape Town,Delivered
ORD2025-00150,2025-02-11,CUST6337,SKU1001,Wireless Mouse,1,25.99,25.99,paypal,United States,New York,Delivered
ORD2025-00151,2025-02-25,CUST2369,SKU1003,USB‑C Hub 7‑in‑1,4,39.95,159.8,google_pay,United Kingdom,London,Processing
ORD2025-00152,2025-05-23,CUST9588,SKU1001,Wireless Mouse,5,25.99,129.95,paypal,India,Bangalore,Processing
ORD2025-00153,2025-04-17,CUST3552,SKU1004,Noise‑Cancelling Headphones,6,129.5,777.0,apple_pay,United Kingdom,London,Cancelled
ORD2025-00154,2025-02-02,CUST7042,SKU1012,USB‑C Charger 65W,4,34.9,139.6,credit_card,Australia,Sydney,Cancelled
ORD2025-00155,2025-03-21,CUST8097,SKU1007,Webcam 1080p,6,49.49,296.94,bank_transfer,United Kingdom,London,Returned
ORD2025-00156,2025-02-06,CUST4152,SKU1004,Noise‑Cancelling Headphones,3,129.5,388.5,google_pay,Colombia,Medellín,Shipped
ORD2025-00157,2025-02-20,CUST3602,SKU1009,Bluetooth Speaker,2,58.75,117.5,paypal,Brazil,São Paulo,Processing
ORD2025-00158,2025-01-25,CUST5958,SKU1011,Smartphone Stand,2,18.5,37.0,credit_card,Brazil,São Paulo,Cancelled
ORD2025-00159,2025-03-01,CUST4796,SKU1013,Gaming Headset,5,79.99,399.95,google_pay,Argentina,Buenos Aires,Processing
ORD2025-00160,2025-03-10,CUST5120,SKU1009,Bluetooth Speaker,3,58.75,176.25,apple_pay,Netherlands,Eindhoven,Shipped
ORD2025-00161,2025-02-22,CUST4115,SKU1001,Wireless Mouse,6,25.99,155.94,credit_card,Spain,Barcelona,Returned
ORD2025-00162,2025-03-19,CUST8999,SKU1002,Mechanical Keyboard,2,89.99,179.98,google_pay,France,Paris,Returned
ORD2025-00163,2025-01-19,CUST8144,SKU1009,Bluetooth Speaker,3,58.75,176.25,credit_card,South Africa,Cape Town,Cancelled
ORD2025-00164,2025-01-07,CUST3317,SKU1005,27‑inch 4K Monitor,3,349.0,1047.0,paypal,Brazil,São Paulo,Cancelled
ORD2025-00165,2025-03-19,CUST2906,SKU1012,USB‑C Charger 65W,4,34.9,139.6,google_pay,France,Paris,Delivered
ORD2025-00166,2025-02-01,CUST4781,SKU1006,Portable SSD 1TB,6,119.99,719.94,apple_pay,Germany,Berlin,Returned
